CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LAT;LON
11 DE SEPTIEMBRE DE 1888;882;105;173000;1647.6;;A ESTRENAR;;;SI;2;;BALCON TERRAZA;PALERMO;14;-58.440245877105184;-34.569951170512859
11 DE SEPTIEMBRE DE 1888;1050;180;169000;938.9;;;;;SI;2;;PATIO;PALERMO;14;-58.442480604080117;-34.568204989022981
11 DE SEPTIEMBRE DE 1888;1144;165;185000;1121.2;;;;;SI;2;;BALCON;PALERMO;14;-58.443303057162836;-34.567568549665886
11 DE SEPTIEMBRE DE 1888;1846;202;198000;980.2;;;;;SI;2;;;BELGRANO;13;-58.449032876981789;-34.561004499000497
11 DE SEPTIEMBRE DE 1888;2130;63;50000;793.7;;;;;;0;;PATIO;BELGRANO;13;-58.451616541855003;-34.55802271416708
11 DE SEPTIEMBRE DE 1888;2130;94;79000;840.4;;;;;;2;;;BELGRANO;13;-58.451616541855003;-34.55802271416708
11 DE SEPTIEMBRE DE 1888;2140;45;44000;977.8;;;;;;0;;;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2140;44;49000;1113.6;;;;;;0;;;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2140;44;55000;1250.0;;;;;SI;0;;BALCON;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2140;28;31000;1107.1;;;;;;0;;;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2140;63;57000;904.8;;;;;SI;0;;PATIO;BELGRANO;13;-58.451534339718521;-34.558117233074235
11 DE SEPTIEMBRE DE 1888;2145;136;158000;1161.8;;8;;;SI;2;;;BELGRANO;13;-58.4517503567875;-34.558331889565714
11 DE SEPTIEMBRE DE 1888;2163;75;85000;1133.3;;;;SI;;0;;BALCON TERRAZA;BELGRANO;13;-58.451602392541936;-34.558502023700548
11 DE SEPTIEMBRE DE 1888;2173;89;67500;758.4;;;;;;0;;;BELGRANO;13;-58.451520189871708;-34.558596542643635
11 DE SEPTIEMBRE DE 1888;2290;43;46000;1069.8;;;;;;0;SI;;BELGRANO;13;-58.451965486660548;-34.557621491761644
11 DE SEPTIEMBRE DE 1888;2430;94;96500;1026.6;;;;;;2;;BALCON TERRAZA;BELGRANO;13;-58.453537476761284;-34.555603481917828
11 DE SEPTIEMBRE DE 1888;2633;100;72000;720.0;;2;;;;0;;TERRAZA;BELGRANO;13;-58.455664691173368;-34.553592849274558
11 DE SEPTIEMBRE DE 1888;2633;100;72000;720.0;;2;;;;0;;TERRAZA;BELGRANO;13;-58.455664691173368;-34.553592849274558
11 DE SEPTIEMBRE DE 1888;2871;107;81000;757.0;;;;;;2;;PATIO;NUÑEZ;13;-58.456868628275842;-34.552069363031521
11 DE SEPTIEMBRE DE 1888;3342;50;30500;610.0;;;;;;0;;;NUÑEZ;13;-58.459903875725338;-34.547400250716684
11 DE SEPTIEMBRE DE 1888;3342;56;47500;848.2;;;;;;0;;;NUÑEZ;13;-58.459903875725338;-34.547400250716684
11 DE SEPTIEMBRE DE 1888;3367;32;35900;1121.9;;;;;;0;;;NUÑEZ;13;-58.460038625830414;-34.54773821078247
11 DE SEPTIEMBRE DE 1888;3367;46;32000;695.7;;;;;;0;;;NUÑEZ;13;-58.460038625830414;-34.54773821078247
11 DE SEPTIEMBRE DE 1888;3975;35;39500;1128.6;;A ESTRENAR;;;;0;;BALCON;NUÑEZ;13;-58.4633798455583;-34.543169776231565
11 DE SEPTIEMBRE DE 1888;4000;200;178000;890.0;;;;;SI;0;;;NUÑEZ;13;-58.462990155577437;-34.543178555053672
11 DE SEPTIEMBRE DE 1888;4281;41;47000;1146.3;;;;;;0;;;NUÑEZ;13;-58.46494669893999;-34.54105162132791
11 DE SEPTIEMBRE DE 1888;4370;89;74000;831.5;;;;;;0;;PATIO;NUÑEZ;13;-58.465311572430402;-34.540040303532002
11 DE SEPTIEMBRE DE 1888;4434;65;68000;1046.2;;;;;;0;;BALCON;NUÑEZ;13;-58.466068740056031;-34.539016642720533
11 DE SEPTIEMBRE DE 1888;4556;35;31000;885.7;;;;;;0;;;NUÑEZ;13;-58.466508038648314;-34.538422734987762
11 DE SEPTIEMBRE DE 1888;4759;121;92000;760.3;;;;;;0;;JARDIN;NUÑEZ;13;-58.467870809189819;-34.536998809345313
11 DE SEPTIEMBRE DE 1888;4759;121;92000;760.3;;;;;;0;;JARDIN;NUÑEZ;13;-58.467870809189819;-34.536998809345313
14 DE JULIO;820;50;83000;1660.0;;;;;;2;;PATIO;VILLA ORTUZAR;15;-58.461804620003917;-34.583131461144859
14 DE JULIO;859;44;43000;977.3;;;;;;0;;BALCON;VILLA ORTUZAR;15;-58.462149906723766;-34.583545288084473
14 DE JULIO;1333;47;54000;1148.9;;;;;SI;0;;;VILLA ORTUZAR;15;-58.462169332769406;-34.578048240163774
14 DE JULIO;1462;195;220000;1128.2;;;;SI;SI;0;;BALCON;VILLA ORTUZAR;15;-58.463528551660666;-34.576061273038952
14 DE JULIO;1462;161;195000;1211.2;;;;;SI;0;;JARDIN;VILLA ORTUZAR;15;-58.463528551660666;-34.576061273038952
15 DE NOVIEMBRE DE 1889;2536;72;45000;625.0;;;;;;0;;;PARQUE PATRICIOS;4;-58.39874715794052;-34.633640191265968
24 DE NOVIEMBRE;138;83;52000;626.5;;;;;;0;SI;PATIO;BALVANERA;3;-58.411705265549678;-34.612616741345484
24 DE NOVIEMBRE;214;80;73000;912.5;;;;;SI;2;SI;BALCON;BALVANERA;3;-58.411493675975464;-34.613930238174163
24 DE NOVIEMBRE;405;65;57000;876.9;;;;;;2;;BALCON;BALVANERA;3;-58.410848277467913;-34.616532527102038
24 DE NOVIEMBRE;575;48;39900;831.3;;;;;;0;;BALCON;BALVANERA;3;-58.410837398897272;-34.616940804660942
24 DE NOVIEMBRE;575;22;18500;840.9;;;;;;0;;;BALVANERA;3;-58.410837398897272;-34.616940804660942
